LR,Hidden_Dim,Epochs,Reg,Batch_Size,Activation,Dropout_p,Val_Accuracy
0.01,256,20,0.001,200,ReLU,0.8,0.8540
0.01,256,20,0.001,200,ReLU,0.5,0.8521
0.01,256,20,0.001,200,ReLU,1.0,0.8556
0.01,256,20,0.001,200,Sigmoid,0.8,0.7821
0.01,256,20,0.001,200,Sigmoid,0.5,0.7830
0.01,256,20,0.001,200,Sigmoid,1.0,0.7825
0.01,256,20,0.001,200,Leaky ReLU,0.8,0.8542
0.01,256,20,0.001,200,Leaky ReLU,0.5,0.8522
0.01,256,20,0.001,200,Leaky ReLU,1.0,0.8557
0.01,256,20,0.001,300,ReLU,0.8,0.8429
0.01,256,20,0.001,300,ReLU,0.5,0.8409
0.01,256,20,0.001,300,ReLU,1.0,0.8457
0.01,256,20,0.001,300,Sigmoid,0.8,0.7542
0.01,256,20,0.001,300,Sigmoid,0.5,0.7544
0.01,256,20,0.001,300,Sigmoid,1.0,0.7518
0.01,256,20,0.001,300,Leaky ReLU,0.8,0.8434
0.01,256,20,0.001,300,Leaky ReLU,0.5,0.8413
0.01,256,20,0.001,300,Leaky ReLU,1.0,0.8459
0.01,256,20,0.005,100,ReLU,0.8,0.8656
0.01,256,20,0.005,100,ReLU,0.5,0.8632
0.01,256,20,0.005,100,ReLU,1.0,0.8662
0.01,256,20,0.005,100,Sigmoid,0.8,0.8196
0.01,256,20,0.005,100,Sigmoid,0.5,0.8196
0.01,256,20,0.005,100,Sigmoid,1.0,0.8204
0.01,256,20,0.005,100,Leaky ReLU,0.8,0.8652
0.01,256,20,0.005,100,Leaky ReLU,0.5,0.8633
0.01,256,20,0.005,100,Leaky ReLU,1.0,0.8662
0.01,256,20,0.005,200,ReLU,0.8,0.8519
0.01,256,20,0.005,200,ReLU,0.5,0.8503
0.01,256,20,0.005,200,ReLU,1.0,0.8548
0.01,256,20,0.005,200,Sigmoid,0.8,0.7784
0.01,256,20,0.005,200,Sigmoid,0.5,0.7781
0.01,256,20,0.005,200,Sigmoid,1.0,0.7775
0.01,256,20,0.005,200,Leaky ReLU,0.8,0.8519
0.01,256,20,0.005,200,Leaky ReLU,0.5,0.8504
0.01,256,20,0.005,200,Leaky ReLU,1.0,0.8546
0.01,256,20,0.005,300,ReLU,0.8,0.8427
0.01,256,20,0.005,300,ReLU,0.5,0.8397
0.01,256,20,0.005,300,ReLU,1.0,0.8455
0.01,256,20,0.005,300,Sigmoid,0.8,0.7525
0.01,256,20,0.005,300,Sigmoid,0.5,0.7528
0.01,256,20,0.005,300,Sigmoid,1.0,0.7491
0.01,256,20,0.005,300,Leaky ReLU,0.8,0.8427
0.01,256,20,0.005,300,Leaky ReLU,0.5,0.8398
0.01,256,20,0.005,300,Leaky ReLU,1.0,0.8453
0.05,128,10,0.0001,100,ReLU,0.8,0.8781
0.05,128,10,0.0001,100,ReLU,0.5,0.8767
0.05,128,10,0.0001,100,ReLU,1.0,0.8757
0.05,128,10,0.0001,100,Sigmoid,0.8,0.8535
0.05,128,10,0.0001,100,Sigmoid,0.5,0.8521
0.05,128,10,0.0001,100,Sigmoid,1.0,0.8550
0.05,128,10,0.0001,100,Leaky ReLU,0.8,0.8759
0.05,128,10,0.0001,100,Leaky ReLU,0.5,0.8755
0.05,128,10,0.0001,100,Leaky ReLU,1.0,0.8754
0.05,128,10,0.0001,200,ReLU,0.8,0.8691
0.05,128,10,0.0001,200,ReLU,0.5,0.8675
0.05,128,10,0.0001,200,ReLU,1.0,0.8708
0.05,128,10,0.0001,200,Sigmoid,0.8,0.8356
0.05,128,10,0.0001,200,Sigmoid,0.5,0.8283
0.05,128,10,0.0001,200,Sigmoid,1.0,0.8363
0.05,128,10,0.0001,200,Leaky ReLU,0.8,0.8691
0.05,128,10,0.0001,200,Leaky ReLU,0.5,0.8674
0.05,128,10,0.0001,200,Leaky ReLU,1.0,0.8703
